## Samples	DCM-100-1	DCM-100-2	DCM-102	DCM-109	DCM-110	DCM-111	DCM-112	DCM-122	DCM-128	DCM-132	DCM-133	DCM-137	DCM-138	DCM-142	DCM-150	DCM-151	DCM-155	DCM-158	DCM-168	DCM-173	DCM-180	DCM-188	DCM-189	DCM-194	DCM-201	DCM-25	DCM-39	DCM-41	DCM-42	DCM-52	DCM-68	DCM-72	DCM-76	DCM-78	DCM-82	DCM-85	DCM-93	DCM-98	MIX-123	MIX-168	SRF-100	SRF-102	SRF-109	SRF-110	SRF-111	SRF-112	SRF-122	SRF-123	SRF-124	SRF-125	SRF-128	SRF-132	SRF-133	SRF-137	SRF-138	SRF-140	SRF-141	SRF-142	SRF-145	SRF-148	SRF-149	SRF-150	SRF-151	SRF-152	SRF-155	SRF-178	SRF-18	SRF-180	SRF-188	SRF-189	SRF-191	SRF-193	SRF-194	SRF-196	SRF-201	SRF-205	SRF-206	SRF-208	SRF-209	SRF-31	SRF-32	SRF-33	SRF-41	SRF-42	SRF-52	SRF-67	SRF-68	SRF-70	SRF-72	SRF-76	SRF-78	SRF-82	SRF-84	SRF-85	SRF-93	SRF-96	SRF-98	SRF-99
nrtA-SYN	0	0	0	0	0	0	0	0	0.481248565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	629.6575178	0	0	0	0	0	0	1.54549996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nrtB-PRO-HLI	0	0	0	0	0	0	76.94937495	0	233.5359452	45.8736721	6.603070402	0	0	805.9863356	37.01581529	19.8559656	0	0	0	0	0	0	0	0	0	0	0	21.4767494	17.21041017	360.7128839	142.3959139	27.11829685	141.4582562	16.50235814	0	0	0	36.61390644	0	0	0	0	109.5528073	0	240.9663382	457.897256	0	0	0	0	0	198.2447316	160.3163637	24.70785389	0	0	247.509037	287.2613249	96.63757794	58.70432408	0	159.197577	33.09370774	315.7418404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210.9513072	80.90604809	0	201.6762174	209.1353543	0	0	386.7968684	0	141.0934298	113.943099	63.54955014	0	0	0	0	647.4363485	1108.773849	221.5021642
nrtB-PRO-HLII	0	0	0	0	0	0	322.2451375	0	618.2304304	157.2811615	16.97932389	0	0	2752.906297	93.21080947	25.52909862	0	0	0	0	0	0	0	0	0	0	0	55.22592704	53.31029492	1034.207612	335.8946604	120.0318057	578.807007	42.43463523	0	0	0	106.0248256	0	0	0	0	281.7072187	0	598.9734692	1246.711857	0	0	0	0	0	609.553153	336.064249	63.53448143	0	37.76302943	1173.212479	984.8313454	248.496629	150.9539762	0	409.3651981	84.31016019	736.7309609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569.859274	219.6021305	0	518.5959875	603.7384816	0	0	866.2823874	0	402.004296	493.2277399	174.3737656	0	0	0	0	1933.771423	2877.854074	584.4277666
nrtB-SYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.064642347	0	0	0	0	0	0	0	0	0	9.027450772	0	0	0	0	0	0	0	0	0	0	0	0.857306758	11.76564471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.55800687	0	0	1.721278636	0	0	0	0	0	3.942667785	0	0	0	0	0	0	0	0
nrtC-SYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237639078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nrtP-PRO-HLI	1.598019055	0	0	0	0	8.183361012	0	0	0	4.5322533	0.978560891	0	0	21.2736304	3.879757565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.696218668	2.761110021	7.8400975	2.604970546	0.917105299	0	0	6.356862159	3.666285481	0	0	0	0	0	0	0	151.6857011	8.729276141	0	7.533930567	0	0	0	10.67228612	0	0	0	5.60393612	41.76701204	4.091852018	14.49975849	10.22419299	17.03920106	10.83058667	14.03767934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.010760091	0	2.685404887	12.45332644	1.78562865	52.70226964	0	40.68046076	7.212761703	4.646609798	10.22516112	4.019838446	0	0	0	0	66.42600931	306.2591931	5.33492925
nrtP-PRO-HLII	41.28215893	2221.360712	139.638322	24.08914844	68.67082618	190.6723116	49.52478136	842.2558137	1636.959506	695.7008815	123.2986722	37.01943119	78.11606877	6208.6768	252.3832036	115.8653307	17.4535884	0	0	0	0	0	0	0	0	10.86179229	21.94416761	231.2082858	190.3681859	354.3089609	138.7457785	563.5646556	473.6704776	129.8468253	0	0	762.8234591	65.62651012	0	0	0	104.2953338	1229.026698	224.9488884	42.85283424	4157.385728	13.09391421	1116.215113	1598.867487	109.4329416	218.9915418	519.435413	645.2286317	25.02128201	1580.218304	290.5464374	2784.137354	5267.805732	3888.28238	5024.166315	1980.937392	1514.522833	1661.371125	298.6906215	223.8917837	0	1889.986071	0	0	0	0	0	0	0	0	0	0	0	0	1351.733471	853.2956661	6685.912223	4740.091851	1546.131207	12785.36791	681.9996949	1029.955302	82.94675958	1799.399644	1110.861504	1034.10344	0	0	0	785.5051628	4312.524138	19524.60802	672.3916187
nrtP-PRO-HLVI	0.799009528	92.55669631	0	0.359539529	0	0.818336101	0	35.09399224	46.8769448	24.92739315	0.489280445	0	3.254836199	168.4162407	4.625864789	2.206958679	0	0	0	0	0	0	0	0	0	0	0.285253804	8.1843641	5.007779194	14.91688248	0.966388507	12.91310177	11.72236746	3.591995755	0	0	9.535293239	0.806582806	0	0	0	0	21.1061388	0	0	131.7270562	0	4.394547689	13.39365434	0	6.256901195	21.35134055	9.782928944	0	54.26573846	4.352755616	29.54802682	121.7813441	15.34444507	60.89898564	3.067257898	28.18021714	7.969676982	3.899355372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.90159533	24.31326449	6.713512218	123.8216457	47.31915922	276.6869156	0	23.11389816	0	61.56757983	38.03759936	29.14382873	0	0	0	2.344791531	144.661087	601.9980322	23.43558206
nrtP-PRO-LLI	1089.049986	1249.5154	40.96057444	21.93191126	62.1307475	4471.388457	822.2091169	0	883.1948272	1157.424186	2049.106505	380.3746555	468.6964126	4091.144755	586.7884614	393.2064713	1064.668892	0	0	0	0	0	0	0	0	7.603254601	2.404282059	185.9669398	32.4417	372.5700412	835.9260587	2076.703473	242.9135034	104.015026	0	0	3734.656518	589.6120311	0	0	39.33275674	17.38255563	896.1991246	667.089807	0	30.93589956	346.9887266	4506.608655	3297.76883	173.6336006	274.4098096	9.052968395	1490.11795	146.466041	0	1067.513315	8788.754907	5836.353317	13627.91315	12573.82807	9354.625379	2814.417268	7134.393529	2104.092159	1784.737361	0	2779.391281	0	0	0	0	0	0	0	0	0	0	0	1595.135135	240.6209576	182.1829545	17130.49615	1755.563218	55.13128456	0	9125.805441	1837.092626	0	73.76493055	76.68870839	868.88808	7333.753783	0	0	6124.595478	5.904534161	24.54749258	8.573993438
nrtP-SYN	193.8929787	370.2267853	309.9970748	188.3987132	325.9139211	1016.373438	215.5305452	2632.049418	5437.310756	176.191347	3624.100258	777.408055	139.9579565	28914.24816	2102.181974	1460.270993	5515.333933	0	10758.91423	0	0	0	0	0	0	334.5432025	158.3362363	348.5175046	28.95802751	36.87418148	854.5635514	297.4625228	129.8143655	225.3786273	0	8205.257068	10809.8441	91.87711416	0	0	77.72901927	1220.255406	5469.737048	4398.138611	224.9773797	13.97105141	1174.087641	24879.73174	26948.45109	1117.67511	1388.138222	223.5912383	10897.29349	720.1247017	1137.409878	6183.089353	61324.89186	37361.7655	102981.3447	122916.2652	73991.97348	13924.30404	49300.62616	7210.687954	15454.92998	0	29586.62018	0	0	0	0	0	0	0	0	0	0	0	303.8352638	2850.419993	1439.64501	190049.2368	18948.8036	1225.610864	13840.42681	20573.65746	3872.964775	0	292.7364173	617.1907251	6794.732925	1396.905482	2744.001995	0	38358.44465	0	57.27748268	42.86996719
OocM-PRO-HLII	0	0	47.91216836	7.401829899	48.62014842	2.807843614	0	0	116.0057908	0.971930915	0	0	0	5.529793115	0.512002929	10.09657658	0	0	0	0	0	0	0	0	0	0	1.67786052	211.7841625	24.90217528	0	2.842144613	3.164781585	2.234518892	2.884508658	0	0	0	0	0	0	33.73926363	190.8555578	0	266.1503603	165.4143864	3.424067048	74.87889826	0	10.05283034	20.02571385	35.26958115	0	24.41222735	4.187905773	14.89556254	33.60377032	0	0	0	0	0	0	0.350580149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.78620734	12.57055071	12.28541175	12.20839389	39.8240759	0	0	0	253.6685663	0	0	2.06890745	0	0	0	40.22679627	0	0	0
