## Layer	Depth.nominal-3	Layer	polar	upper.size.fraction	Depth.nominal-1	Depth.nominal-2	Ocean.region	TemperatureInterval5	TemperatureInterval5x	TemperatureInterval5x2	TemperatureInterval10	TemperatureInterval10x	TemperatureInterval10x2	ChlorophyllA-RANGE1	ChlorophyllA-RANGE2	PO4-CAT1	PO4-CAT2	Ammonium.5m-range1	Ammonium.5m-range2	NO2-RANGE1	NO2-RANGE1	NO2NO3-RANGE1XX	NO2NO3-RANGE1	NO2NO3-RANGE2	Iron.5m-CAT1	Iron.5m-CAT2
SRF-99	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Pacific	20 to 25 C	T6	T6  20 to 25 C	20 to 30 C	T4  20 to 30 C	T4	0.01 to 0.1	0.01 to 0.1	0.100-0.500	0.100-1.000	0.0130 to 0.0150	0.0090 to 0.0150	0.0030 to 0.0060	0.0010 to 0.0100	0.0110 to 0.0360	0.0110 to 0.0360	0.0100 to 0.1000	< 0.0001	0.00002-0.00005
SRF-41	D1   5m	SRF	non polar	1.6 um	5m	D1 5m 	ArcticOcean	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.01 to 0.1	0.01 to 0.1	0.100-0.500	0.100-1.000	0.0160 to 0.0200	0.0160 to 0.0300	0.0070 to 0.0100	0.0010 to 0.0100	0.0400 to 0.0600	0.0400 to 0.0600	0.0100 to 0.1000	> 0.0010	0.00100-0.00140
SRF-42	D1   5m	SRF	non polar	1.6 um	5m	D1 5m 	ArcticOcean	25 to 30C	T7	T7  25 to 30C	20 to 30 C	T4  20 to 30 C	T4	0.01 to 0.1	0.01 to 0.1	0.050-0.100	0.010-0.100	0.0130 to 0.0150	0.0090 to 0.0150	0.0010 to 0.0020	0.0010 to 0.0100	0.0110 to 0.0360	0.0110 to 0.0360	0.0100 to 0.1000	> 0.0010	0.00100-0.00140
SRF-168	D1   5m	SRF	polar	3 um	5m	D1 5m 	ArcticOcean	5 to 10 C	T3	T3  5 to 10 C	0 to 10 C	T2  0 to 10 C	T2	0.5 to 1.0 	0.75 to 1.0	0	0	0.0060 to 0.0080	0.0020 to 0.0080	0	0	0.0400 to 0.0600	0.0400 to 0.0600	0.0100 to 0.1000	0.0001 - 0.0005	0.00010-0.00050
DCM-133	D2   20 to 50m	DCM	non polar	3 um	30 to 50m	D3 30 to 50m	N-Pacific	10 to 15 C	T4	T4  10 to 15 C	10 to 20 C	T3  10 to 20 C	T3	0.3to 0.5	0.3 to 0.5	0.100-0.500	0.100-1.000	0.0160 to 0.0200	0.0160 to 0.0300	0.0600 to 0.0800	0.0600 to 0.1000	0.7500 to 1.0000	0.7500 to 1.0000	0.1100 to 1.0000	0.0001 - 0.0005	0.00010-0.00050
DCM-25	D2   20 to 50m	DCM	non polar	1.6 um	30 to 50m	D3 30 to 50m	MediterraneanSea	10 to 15 C	T4	T4  10 to 15 C	10 to 20 C	T3  10 to 20 C	T3	0.1 to 0.2	0.1 to 0.15	NA	NA	0.0020 to 0.0040	0.0020 to 0.0080	0.0900 to 0.1200	0.0600 to 0.1000	0.1000 to 0.5000	0.1000 to 0.5000	0.1100 to 1.0000	> 0.0010	0.00100-0.00140
DCM-150	D2   20 to 50m	DCM	non polar	3 um	30 to 50m	D3 30 to 50m	N-Atlantic	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.2 to 0.3	0.20 to 0.25	0	0	0.0130 to 0.0150	0.0090 to 0.0150	0.0400 to 0.0500	0.0250 to 0.0500	0.1000 to 0.5000	0.1000 to 0.5000	0.1100 to 1.0000	> 0.0010	0.00100-0.00140
DCM-68	D2   20 to 50m	DCM	non polar	3 um	30 to 50m	D3 30 to 50m	S-Atlantic	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.3to 0.5	0.3 to 0.5	0.100-0.500	0.100-1.000	0.0130 to 0.0150	0.0090 to 0.0150	0.2300 to 0.3000	0.2300 to 0.4600	0.7500 to 1.0000	0.7500 to 1.0000	0.1100 to 1.0000	0.0001 - 0.0005	0.00010-0.00050
SRF-148	D1   5m	SRF	non polar	3 um	5m	D1 5m 	N-Atlantic	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.1 to 0.2	0.1 to 0.15	0.001-0.010	0.001-0.010	0.0060 to 0.0080	0.0020 to 0.0080	0.0900 to 0.1200	0.0600 to 0.1000	0.1000 to 0.5000	0.1000 to 0.5000	0.1100 to 1.0000	> 0.0010	0.00100-0.00140
SRF-150	D1   5m	SRF	non polar	3 um	5m	D1 5m 	N-Atlantic	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.1 to 0.2	0.15 to 0.20	0.001-0.010	0.001-0.010	0.0130 to 0.0150	0.0090 to 0.0150	0.0250 to 0.0350	0.0250 to 0.0500	0.1000 to 0.5000	0.1000 to 0.5000	0.1100 to 1.0000	> 0.0010	0.00100-0.00140
SRF-68	D1   5m	SRF	non polar	3 um	5m	D1 5m 	S-Atlantic	15 to 20 C	T5	T5  15 to 20 C	10 to 20 C	T3  10 to 20 C	T3	0.2 to 0.3	0.25 to 0.30	0.100-0.500	0.100-1.000	0.0130 to 0.0150	0.0090 to 0.0150	0.1300 to 0.2000	0.1100 to 0.2000	0.7500 to 1.0000	0.7500 to 1.0000	0.1100 to 1.0000	0.0001 - 0.0005	0.00010-0.00050
